mdl_month,score_column,score_decile,lower_bound,upper_bound,n_samples,pct,bad,bad_rate,baseline_pct,psi_component,month_psi
2025-11,gcard_v2,10,"(0.606223, 0.974126]","(0.606223, +inf)",84632,0.070548,65189,0.770264,0.100001,0.010276,0.025943
2025-12,gcard_v2,1,"(-inf, 0.004965]","(-inf, 0.004965]",151718,0.126472,100,0.000659,0.100001,0.006217,0.006217
2025-12,gcard_v2,2,"(0.004965, 0.008578]","(0.004965, 0.008578]",148100,0.123456,307,0.002073,0.099999,0.004943,0.011159
2025-12,gcard_v2,3,"(0.008578, 0.014989]","(0.008578, 0.014989]",137347,0.114492,647,0.004711,0.100001,0.001961,0.013121
2025-12,gcard_v2,4,"(0.014989, 0.027974]","(0.014989, 0.027974]",128771,0.107343,1284,0.009971,0.099999,0.00052,0.013641
2025-12,gcard_v2,5,"(0.027974, 0.053630]","(0.027974, 0.053630]",120258,0.100247,2657,0.022094,0.100041,0.0,0.013642
2025-12,gcard_v2,6,"(0.053630, 0.102968]","(0.053630, 0.102968]",109780,0.091513,5844,0.053234,0.099959,0.000746,0.014387
2025-12,gcard_v2,7,"(0.102968, 0.199976]","(0.102968, 0.199976]",103328,0.086134,13062,0.126413,0.099999,0.002069,0.016457
2025-12,gcard_v2,8,"(0.199976, 0.369263]","(0.199976, 0.369263]",105935,0.088307,27593,0.260471,0.100001,0.001454,0.017911
2025-12,gcard_v2,9,"(0.369263, 0.606223]","(0.369263, 0.606223]",114420,0.09538,55280,0.483132,0.099999,0.000218,0.018129
2025-12,gcard_v2,10,"(0.606223, 0.974126]","(0.606223, +inf)",79959,0.066654,59966,0.749959,0.100001,0.013528,0.031657
2026-01,gcard_v2,1,"(-inf, 0.004965]","(-inf, 0.004965]",157737,0.131492,132,0.000837,0.100001,0.008621,0.008621
2026-01,gcard_v2,2,"(0.004965, 0.008578]","(0.004965, 0.008578]",151111,0.125968,369,0.002442,0.099999,0.005995,0.014617
2026-01,gcard_v2,3,"(0.008578, 0.014989]","(0.008578, 0.014989]",138796,0.115702,616,0.004438,0.100001,0.00229,0.016906
2026-01,gcard_v2,4,"(0.014989, 0.027974]","(0.014989, 0.027974]",130891,0.109113,1242,0.009489,0.099999,0.000795,0.017701
2026-01,gcard_v2,5,"(0.027974, 0.053630]","(0.027974, 0.053630]",120939,0.100816,2688,0.022226,0.100041,6e-06,0.017707
2026-01,gcard_v2,6,"(0.053630, 0.102968]","(0.053630, 0.102968]",108615,0.090543,5803,0.053427,0.099959,0.000932,0.018639
2026-01,gcard_v2,7,"(0.102968, 0.199976]","(0.102968, 0.199976]",102234,0.085224,12964,0.126807,0.099999,0.002362,0.021001
2026-01,gcard_v2,8,"(0.199976, 0.369263]","(0.199976, 0.369263]",105925,0.088301,27949,0.263857,0.100001,0.001456,0.022457
2026-01,gcard_v2,9,"(0.369263, 0.606223]","(0.369263, 0.606223]",113624,0.094719,54972,0.483806,0.099999,0.000286,0.022744
2026-01,gcard_v2,10,"(0.606223, 0.974126]","(0.606223, +inf)",69723,0.058122,51657,0.740889,0.100001,0.022725,0.045468
2025-06,gcard_v4,1,"(-inf, 0.006918]","(-inf, 0.006918]",144532,0.120447,828,0.005729,0.124817,0.000156,0.000156
