segment,final_flag,score_version,intent_level,zc_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
老户次新,DEV-OOS,model_score,合计,4,345770,2.6536416e+08,1.3093373e+07,0.049341149628162384,6482,0.018746565636116493
老户次新,DEV-OOS,model_score,合计,5,63632,3.423306e+07,1.6444869e+06,0.048037976026535034,1106,0.017381191853155644
老户次新,DEV-OOS,model_score,合计,6,298924,1.129628e+08,6.269435e+06,0.05549999698996544,4584,0.015335001538852686
老户次新,DEV-OOS,model_score,合计,7,79296,1.810143e+07,1.0595222e+06,0.05853251740336418,1011,0.012749697336561743
老户次新,DEV-OOS,model_score,合计,合计,1287620,1.494701e+09,5.8606764e+07,0.03920968994498253,21993,0.017080349792640687
老户次新,DEV-OOS,gcard_v2,低意愿,1,10494,1.4828718e+07,106837.875,0.007204795256257057,18,0.0017152658662092624
老户次新,DEV-OOS,gcard_v2,低意愿,2,54571,4.672828e+07,650457.2,0.013919989578425884,172,0.003151857213538326
老户次新,DEV-OOS,gcard_v2,低意愿,3,109872,4.2351804e+07,1.1632235e+06,0.027465736493468285,492,0.004477937964176496
老户次新,DEV-OOS,gcard_v2,低意愿,4,125433,2.8071454e+07,1.00487506e+06,0.03579704463481903,560,0.004464534851275183
老户次新,DEV-OOS,gcard_v2,低意愿,5,22096,3.6757082e+06,133974.31,0.03644857183098793,112,0.005068790731354091
老户次新,DEV-OOS,gcard_v2,低意愿,6,93710,1.003053e+07,308509.38,0.030757036060094833,361,0.0038523103190694695
老户次新,DEV-OOS,gcard_v2,低意愿,7,12611,884600.0,35880.19,0.040560923516750336,34,0.0026960589961145033
老户次新,DEV-OOS,gcard_v2,中意愿,1,16421,4.9821544e+07,790703.56,0.01587071642279625,106,0.006455148894707996
老户次新,DEV-OOS,gcard_v2,中意愿,2,55473,9.766074e+07,2.2389648e+06,0.02292594499886036,586,0.010563697654714906
老户次新,DEV-OOS,gcard_v2,中意愿,3,82220,7.3893496e+07,2.0583395e+06,0.027855489403009415,980,0.011919241060569205
老户次新,DEV-OOS,gcard_v2,中意愿,4,107261,5.293951e+07,1.7891126e+06,0.03379541262984276,1245,0.011607201126224816
老户次新,DEV-OOS,gcard_v2,中意愿,5,21490,7.5817605e+06,273958.16,0.036133844405412674,227,0.010563052582596556
老户次新,DEV-OOS,gcard_v2,中意愿,6,110382,3.0121242e+07,1.4402089e+06,0.04781372845172882,1093,0.009901976771575076
老户次新,DEV-OOS,gcard_v2,中意愿,7,35540,5.484311e+06,258991.62,0.047224096953868866,245,0.0068936409679234666
老户次新,DEV-OOS,gcard_v2,高意愿,1,18811,1.6096235e+08,4.8463225e+06,0.03010842204093933,507,0.026952315134761574
老户次新,DEV-OOS,gcard_v2,高意愿,2,65773,3.4252704e+08,1.2746629e+07,0.03721349686384201,2410,0.03664117495020753
老户次新,DEV-OOS,gcard_v2,高意愿,3,86135,2.3518914e+08,1.1937185e+07,0.050755683332681656,3537,0.04106344691472688
老户次新,DEV-OOS,gcard_v2,高意愿,4,112840,1.8429802e+08,1.0299385e+07,0.055884405970573425,4677,0.04144806806097129
老户次新,DEV-OOS,gcard_v2,高意愿,5,19951,2.2956408e+07,1.2304515e+06,0.05359947681427002,765,0.038343942659515816
老户次新,DEV-OOS,gcard_v2,高意愿,6,94220,7.2760104e+07,4.5197255e+06,0.06211818382143974,3127,0.03318828274251751
老户次新,DEV-OOS,gcard_v2,高意愿,7,31057,1.1726806e+07,763072.3,0.06507077068090439,729,0.023472969056895387
老户次新,DEV-OOS,gcard_v2,低意愿,合计,428787,1.4657109e+08,3.4037575e+06,0.02322257123887539,1749,0.004078948289010628
