segment,final_flag,score_version,intent_level,zc_level,n_samples,ftr_30d_count,ftr_30d_rate
老户次新,DEV-OOS,gcard_v2,高意愿,3,86135,64019,0.7432402623788239
老户次新,DEV-OOS,gcard_v2,高意愿,4,112840,85081,0.7539968096419709
老户次新,DEV-OOS,gcard_v2,高意愿,5,19951,14978,0.7507393113127162
老户次新,DEV-OOS,gcard_v2,高意愿,6,94220,70215,0.7452239439609425
老户次新,DEV-OOS,gcard_v2,高意愿,7,31057,23352,0.7519077824645007
老户次新,DEV-OOS,gcard_v2,低意愿,合计,428787,67859,0.15825806286104757
老户次新,DEV-OOS,gcard_v2,中意愿,合计,428787,175684,0.40972324254233455
老户次新,DEV-OOS,gcard_v2,高意愿,合计,428787,318844,0.7435953048949712
老户次新,DEV-OOS,gcard_v2,合计,1,45726,20079,0.4391156016270831
老户次新,DEV-OOS,gcard_v2,合计,2,175817,76147,0.43310373854632944
老户次新,DEV-OOS,gcard_v2,合计,3,278227,112714,0.40511524762154644
老户次新,DEV-OOS,gcard_v2,合计,4,345534,148822,0.4307014649788443
老户次新,DEV-OOS,gcard_v2,合计,5,63537,27812,0.4377291971607095
老户次新,DEV-OOS,gcard_v2,合计,6,298312,133908,0.44888573037625035
老户次新,DEV-OOS,gcard_v2,合计,7,79208,42905,0.5416750833249167
老户次新,DEV-OOS,gcard_v2,合计,合计,1286361,562387,0.4371922034327844
老户次新,DEV-OOS,gcard_v4,低意愿,1,9127,1255,0.13750410868850663
老户次新,DEV-OOS,gcard_v4,低意愿,2,57620,8621,0.14961818812912184
老户次新,DEV-OOS,gcard_v4,低意愿,3,111772,16881,0.1510306695773539
老户次新,DEV-OOS,gcard_v4,低意愿,4,130443,20963,0.16070620884217626
老户次新,DEV-OOS,gcard_v4,低意愿,5,21512,3609,0.16776682781703237
老户次新,DEV-OOS,gcard_v4,低意愿,6,86999,15007,0.1724962355889148
老户次新,DEV-OOS,gcard_v4,低意愿,7,11734,2160,0.18408044997443326
老户次新,DEV-OOS,gcard_v4,中意愿,1,17436,5537,0.3175613672860748
老户次新,DEV-OOS,gcard_v4,中意愿,2,55183,20361,0.36897232843448163
老户次新,DEV-OOS,gcard_v4,中意愿,3,84335,32978,0.39103575028161497
老户次新,DEV-OOS,gcard_v4,中意愿,4,106149,43410,0.40895345222281887
老户次新,DEV-OOS,gcard_v4,中意愿,5,22261,9017,0.40505817348726475
老户次新,DEV-OOS,gcard_v4,中意愿,6,113667,44783,0.3939841818645693
老户次新,DEV-OOS,gcard_v4,中意愿,7,30175,12708,0.4211433305716653
老户次新,DEV-OOS,gcard_v4,高意愿,1,19166,13289,0.6933632474173015
老户次新,DEV-OOS,gcard_v4,高意愿,2,63027,47170,0.7484094118393704
老户次新,DEV-OOS,gcard_v4,高意愿,3,82332,62971,0.7648423456250304
老户次新,DEV-OOS,gcard_v4,高意愿,4,109178,84563,0.7745424902452875
老户次新,DEV-OOS,gcard_v4,高意愿,5,19859,15237,0.7672591771992547
老户次新,DEV-OOS,gcard_v4,高意愿,6,98258,74434,0.7575362820330152
老户次新,DEV-OOS,gcard_v4,高意愿,7,37387,28094,0.7514376654987027
老户次新,DEV-OOS,gcard_v4,低意愿,合计,429207,68496,0.15958733198666378
老户次新,DEV-OOS,gcard_v4,中意愿,合计,429206,168794,0.3932703643471899
老户次新,DEV-OOS,gcard_v4,高意愿,合计,429207,325758,0.7589764379425312
老户次新,DEV-OOS,gcard_v4,合计,1,45729,20081,0.4391305298607011
老户次新,DEV-OOS,gcard_v4,合计,2,175830,76152,0.43310015355741344
老户次新,DEV-OOS,gcard_v4,合计,3,278439,112830,0.4052234062038723
老户次新,DEV-OOS,gcard_v4,合计,4,345770,148936,0.43073719524539433
老户次新,DEV-OOS,gcard_v4,合计,5,63632,27863,0.4378771687201408
老户次新,DEV-OOS,gcard_v4,合计,6,298924,134224,0.4490238321446254
老户次新,DEV-OOS,gcard_v4,合计,7,79296,42962,0.5417927764326069
老户次新,DEV-OOS,gcard_v4,合计,合计,1287620,563048,0.43727807893633214
老户次新,DEV-OOS,gcard_v5,低意愿,1,12170,2155,0.1770747740345111
老户次新,DEV-OOS,gcard_v5,低意愿,2,57978,9365,0.16152678602228432
老户次新,DEV-OOS,gcard_v5,低意愿,3,110786,17655,0.1593612911378694
老户次新,DEV-OOS,gcard_v5,低意愿,4,124935,20639,0.16519790290951294
老户次新,DEV-OOS,gcard_v5,低意愿,5,21282,3764,0.17686307677849827
老户次新,DEV-OOS,gcard_v5,低意愿,6,89096,16250,0.18238753703869984
老户次新,DEV-OOS,gcard_v5,低意愿,7,12960,2678,0.2066358024691358
老户次新,DEV-OOS,gcard_v5,中意愿,1,16202,5911,0.3648315022836687
老户次新,DEV-OOS,gcard_v5,中意愿,2,56394,22129,0.3923999006986559
老户次新,DEV-OOS,gcard_v5,中意愿,3,86777,35704,0.4114454290883529
老户次新,DEV-OOS,gcard_v5,中意愿,4,110851,46867,0.42279275784611775
老户次新,DEV-OOS,gcard_v5,中意愿,5,22217,9325,0.41972363505423776
老户次新,DEV-OOS,gcard_v5,中意愿,6,109074,44843,0.4111245576397675
老户次新,DEV-OOS,gcard_v5,中意愿,7,27691,12233,0.4417680834928316
老户次新,DEV-OOS,gcard_v5,高意愿,1,17357,12015,0.6922279195713545
老户次新,DEV-OOS,gcard_v5,高意愿,2,61458,44658,0.726642585180123
老户次新,DEV-OOS,gcard_v5,高意愿,3,80876,59471,0.7353355754488352
老户次新,DEV-OOS,gcard_v5,高意愿,4,109984,81430,0.740380418970032
