segment,final_flag,score_version,intent_level,zc_level,n_samples,sample_pct,row_pct,col_pct
老户次新,DEV-OOS,model_score,中意愿,3,87285,0.06778785666578649,0.20336388587298407,0.3134797927014535
老户次新,DEV-OOS,model_score,中意愿,4,109500,0.08504061757350771,0.25512224898999547,0.3166845012580617
老户次新,DEV-OOS,model_score,中意愿,5,21557,0.01674174057563567,0.050225299739519016,0.3387760875031431
老户次新,DEV-OOS,model_score,中意愿,6,105333,0.08180441434584737,0.24541362422706114,0.35237384753315226
老户次新,DEV-OOS,model_score,中意愿,7,28730,0.022312483496683803,0.06693755446102803,0.3623133575464084
老户次新,DEV-OOS,model_score,高意愿,1,15312,0.011891707180689956,0.03567509383584145,0.33484222265958147
老户次新,DEV-OOS,model_score,高意愿,2,57986,0.04503347260837825,0.13510031290263205,0.32978445089006425
老户次新,DEV-OOS,model_score,高意愿,3,82589,0.064140817943182,0.1924223043892574,0.2966143392269043
老户次新,DEV-OOS,model_score,高意愿,4,112518,0.0873844767866296,0.2621532267647079,0.32541284668999626
老户次新,DEV-OOS,model_score,高意愿,5,20809,0.016160823845544493,0.048482433883883534,0.32702099572542115
老户次新,DEV-OOS,model_score,高意愿,6,102473,0.07958326214255759,0.23874960100837125,0.34280619823098846
老户次新,DEV-OOS,model_score,高意愿,7,37520,0.029139031701899628,0.08741702721530636,0.4731638418079096
老户次新,DEV-OOS,model_score,低意愿,合计,429207,0.3333335922088815,1.0,
老户次新,DEV-OOS,model_score,中意愿,合计,429206,0.333332815582237,1.0,
老户次新,DEV-OOS,model_score,高意愿,合计,429207,0.3333335922088815,1.0,
老户次新,DEV-OOS,model_score,合计,1,45729,0.03551435982665693,,1.0
老户次新,DEV-OOS,model_score,合计,2,175830,0.1365542629036517,,1.0
老户次新,DEV-OOS,model_score,合计,3,278439,0.2162431462698622,,1.0
老户次新,DEV-OOS,model_score,合计,4,345770,0.26853419487115765,,1.0
老户次新,DEV-OOS,model_score,合计,5,63632,0.04941830664326432,,1.0
老户次新,DEV-OOS,model_score,合计,6,298924,0.23215234308258648,,1.0
老户次新,DEV-OOS,model_score,合计,7,79296,0.06158338640282071,,1.0
老户次新,DEV-OOS,model_score,合计,合计,1287620,1.0,,
老户次新,DEV-OOS,gcard_v2,低意愿,1,10494,0.008157896578021255,0.024473689734063764,0.22949744128067182
老户次新,DEV-OOS,gcard_v2,低意愿,2,54571,0.04242277245656546,0.12726831736969638,0.31038523009720337
老户次新,DEV-OOS,gcard_v2,低意愿,3,109872,0.08541303724226713,0.2562391117268014,0.3949005668033656
老户次新,DEV-OOS,gcard_v2,低意愿,4,125433,0.09750995249389557,0.2925298574816867,0.36301203354807343
老户次新,DEV-OOS,gcard_v2,低意愿,5,22096,0.017177137677525982,0.051531413032577945,0.347765868706423
老户次新,DEV-OOS,gcard_v2,低意愿,6,93710,0.07284891255254163,0.2185467376576249,0.31413419507093243
老户次新,DEV-OOS,gcard_v2,低意愿,7,12611,0.0098036243325163,0.0294108729975489,0.1592137157862842
老户次新,DEV-OOS,gcard_v2,中意愿,1,16421,0.012765467858556034,0.0382964035756681,0.3591173511787604
老户次新,DEV-OOS,gcard_v2,中意愿,2,55473,0.043123975307087205,0.1293719259212616,0.3155155644789753
老户次新,DEV-OOS,gcard_v2,中意愿,3,82220,0.06391673876928794,0.19175021630786382,0.29551409460620287
老户次新,DEV-OOS,gcard_v2,中意愿,4,107261,0.08338328043216485,0.25014984129649454,0.3104209715975852
老户次新,DEV-OOS,gcard_v2,中意愿,5,21490,0.016706041305667694,0.05011812391700308,0.3382281190487432
老户次新,DEV-OOS,gcard_v2,中意愿,6,110382,0.08580950448591025,0.25742851345773077,0.3700219903993135
老户次新,DEV-OOS,gcard_v2,中意愿,7,35540,0.02762832517465937,0.08288497552397811,0.4486920513079487
老户次新,DEV-OOS,gcard_v2,高意愿,1,18811,0.014623422196412982,0.04387026658923895,0.41138520754056773
老户次新,DEV-OOS,gcard_v2,高意愿,2,65773,0.051131058855173626,0.15339317656552087,0.37409920542382136
老户次新,DEV-OOS,gcard_v2,高意愿,3,86135,0.06696020790431302,0.20088062371293905,0.3095853385904316
老户次新,DEV-OOS,gcard_v2,高意愿,4,112840,0.08772032112291962,0.2631609633687588,0.3265669948543414
老户次新,DEV-OOS,gcard_v2,高意愿,5,19951,0.015509643093968179,0.04652892928190454,0.3140060122448337
老户次新,DEV-OOS,gcard_v2,高意愿,6,94220,0.07324537979618474,0.2197361393885542,0.3158438145297541
老户次新,DEV-OOS,gcard_v2,高意愿,7,31057,0.02414330036436117,0.07242990109308352,0.3920942329057671
老户次新,DEV-OOS,gcard_v2,低意愿,合计,428787,0.3333333333333333,1.0,
老户次新,DEV-OOS,gcard_v2,中意愿,合计,428787,0.3333333333333333,1.0,
老户次新,DEV-OOS,gcard_v2,高意愿,合计,428787,0.3333333333333333,1.0,
老户次新,DEV-OOS,gcard_v2,合计,1,45726,0.035546786632990275,,1.0
老户次新,DEV-OOS,gcard_v2,合计,2,175817,0.13667780661882628,,1.0
老户次新,DEV-OOS,gcard_v2,合计,3,278227,0.2162899839158681,,1.0
老户次新,DEV-OOS,gcard_v2,合计,4,345534,0.26861355404898,,1.0
老户次新,DEV-OOS,gcard_v2,合计,5,63537,0.049392822077161856,,1.0
老户次新,DEV-OOS,gcard_v2,合计,6,298312,0.23190379683463663,,1.0
老户次新,DEV-OOS,gcard_v2,合计,7,79208,0.06157524987153684,,1.0
老户次新,DEV-OOS,gcard_v2,合计,合计,1286361,1.0,,
老户次新,DEV-OOS,gcard_v4,低意愿,1,9127,0.0070882713844146565,0.021264797638435532,0.19958888232850053
老户次新,DEV-OOS,gcard_v4,低意愿,2,57620,0.044749227256488715,0.1342475775092205,0.32770289484160836
老户次新,DEV-OOS,gcard_v4,低意愿,3,111772,0.08680511330982743,0.26041513768414776,0.4014236511408244
老户次新,DEV-OOS,gcard_v4,低意愿,4,130443,0.10130550938941613,0.3039162921387582,0.37725366573155567
老户次新,DEV-OOS,gcard_v4,低意愿,5,21512,0.01670679237663286,0.05012033820510849,0.33806889615287905
老户次新,DEV-OOS,gcard_v4,低意愿,6,86999,0.06756574144545752,0.2026970669164296,0.29104053204158914
老户次新,DEV-OOS,gcard_v4,低意愿,7,11734,0.009112937046644197,0.027338789907899917,0.147977199354318
老户次新,DEV-OOS,gcard_v4,中意愿,1,17436,0.013541262173622653,0.040623849619995996,0.3812897723545234
老户次新,DEV-OOS,gcard_v4,中意愿,2,55183,0.042856588123825354,0.12856996407319563,0.31384291645339246
老户次新,DEV-OOS,gcard_v4,中意愿,3,84335,0.06549680806449108,0.19649072939334492,0.3028850125162064
老户次新,DEV-OOS,gcard_v4,中意愿,4,106149,0.08243814168776502,0.2473148092058359,0.30699308789079444
老户次新,DEV-OOS,gcard_v4,中意愿,5,22261,0.01728848573336854,0.051865537760422735,0.34983970329394015
老户次新,DEV-OOS,gcard_v4,中意愿,6,113667,0.08827682080116804,0.26483087375292985,0.3802538437863805
