feature,real_importance,null_p75,null_mean,score
ddf_3m_rep_dte_neg_3_crt_dt_max_prc_amt,90.46930122375488,55.814175844192505,35.16425712108612,1.6209018561217055
3m_used_lmt_first_der_sum,179.15274047851562,110.75508260726929,95.44534893035889,1.6175577342466552
percent_true_call_mode_is_manual_called_phone_social_relations_is_friend_90d,53.61960029602051,33.23264932632446,25.66246931552887,1.613461501955759
m1_stg_pln_rep_apl_cnt_mor_4_stg_amt_min,86.40509986877441,53.73241209983826,46.32210876941681,1.6080629268648543
stg_pln_cnt_12m_ftr_his_rep_rto_all,152.46770191192627,95.07169353961945,80.96139152050019,1.6037129058649624
d15_apl_ord_prc_amt_max,77.40123176574707,49.07082009315491,30.92937445640564,1.5773372366471636
18m_used_lmt_second_der_small_0_count,67.52289962768555,43.065550088882446,32.727024126052854,1.5679098371743978
stddev_day_diff_event_type_repay_all,383.458402633667,244.7133219242096,210.57336490154267,1.566969871597053
d15_apl_ord_prc_amt_avg,106.4242000579834,68.11039614677429,45.26403648853302,1.5625250487259668
m3_stg_pln_manual_deduct_rep_apl_cnt_avg,45.180599212646484,29.13212490081787,18.907190895080568,1.5508858130488814
n_unique_channel_event_result_1,105.48709869384766,68.0381293296814,56.36049888134003,1.5504115079752683
his_30_day_csh_apl_ord_cnt_his_rto,107.5634093284607,69.48594903945923,59.55414438247681,1.5479879143246398
bf_3m_inter_1m_count_down,33.645198822021484,21.89359998703003,10.780513477325439,1.5367595480849752
3m_used_lmt_first_der_mean_diff,282.06320571899414,186.06586027145386,158.6185341835022,1.5159320753817414
ddf_6m_rep_dte_1_crt_dt_max_prc_amt,63.75040149688721,42.111751079559326,29.178619146347046,1.5138387709513008
m6_stg_pln_ovd_1d_3d_manual_deduct_rep_apl_suc_cnt_rat,23.819100379943848,16.007675170898438,14.842194557189941,1.4879799924505208
ddf_bjq_12m_rep_dte_neg_7_crt_dt_rep_prc_amt_rto,143.70730113983154,96.6756421327591,87.04756615161895,1.4864892331667845
3m_repay_ftr_amt_first_der_stddev,201.39500045776367,135.86895036697388,104.30224006175995,1.4822739111018954
rsk_lmt_rate_ch_1m_grt_0p9_rate_12m,198.08989906311035,133.70120477676392,109.80136857032775,1.4815864927608837
stg_pln_max_prc_amt_6m_12m_ftr_cash,96.97539901733398,65.45842432975769,46.672082376480105,1.4814808026665032
day_diff_shift1_n_unique_all,227.80374145507812,154.31296467781067,129.3848861694336,1.4762449929641914
rsk_avl_lmt_ch_1m_les_10000_cnt_bjq_12m,163.64959907531738,110.96205735206604,84.60513544082642,1.474824845362065
d360_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,103.49699783325195,70.20760500431061,58.153659272193906,1.474156508071988
d90_lend_light_to_repay_heavy_inner7d_order_amt_sum,47.11013984680176,31.98889923095703,21.85861246585846,1.4727027493716087
stg_pln_pay_off_cnt_d0_rep_24m_rto,189.7347011566162,129.3385775089264,106.18707158565522,1.466961403248165
ord_apl_cnt_360_day_13_18_bjq_12m,88.86769962310791,60.5944504737854,39.479080605506894,1.4665979958272612
credit_pass_unique_fund_cnt_24m,34.23070049285889,23.492474794387817,19.872996401786803,1.4570921451424246
3m_repay_amt_first_der_median,215.28769874572754,147.9749460220337,113.46537206172943,1.4548929027057789
ord_apl_cnt_720_day_00_03,32.75380039215088,22.70972490310669,12.586131906509399,1.4422808084157004
d730_avl_lmt_eql_0_month_cnt,64.39120101928711,44.69097542762756,33.499683833122255,1.4408099264595833
max_ddf_rep_tim_dte_ovd_pls_rep_12m,55.52820014953613,38.57867407798767,25.30103394985199,1.4393496271355675
6m_used_lmt_first_der_max,261.8936986923218,182.67137384414673,151.26205878257753,1.4336876828646763
cnt_event_type_repay_event_result_1_all,264.7214994430542,185.45962023735046,138.81778395175934,1.4273807910544878
stg_pln_pay_off_sum_prc_amt_7d_1m_rto,159.7770004272461,112.70329475402832,82.26006162166595,1.4176781679360375
6m_used_lmt_second_der_sum,279.8091993331909,197.5218243598938,158.6334955215454,1.4165989011085973
