feature,gain,split
min_rsk_avl_lmt_36m_bt_ch,346.3864698410034,30
ai_call_cnt_21d,345.6020164489746,24
3ord_apply_amt_second_der_mean_diff,345.55724239349365,28
m6_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_min,345.11885929107666,23
12m_repay_ftr_amt_second_der_mean_rto,344.9097809791565,29
12stg_pln_repay_amt_second_der_median,343.9025082588196,30
stddev_amt_event_type_repay_all,343.25695037841797,28
3m_repay_amt_first_der_sum,342.2314519882202,26
stg_pln_cnt_6m_12m_ftr_rto_all,338.2104501724243,29
d720_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,337.44665122032166,28
12m_used_lmt_first_der_sum,335.9596107006073,30
d1080_max_due_prc_amt_divide_d1080_max_faqi_prc_amt,333.8775725364685,30
rsk_avl_lmt_ch_1m_les_500_cnt_bjq_12m,333.823429107666,31
3m_used_lmt_first_der_max,333.64924573898315,29
6stg_pln_repay_amt_first_der_max,331.4721312522888,30
payment_day_6m,330.9940555989742,30
3ord_apply_amt_first_der_mean_rto,329.7364091873169,26
12m_repay_amt_second_der_mean_diff,328.0689299106598,31
d30_apl_ord_prc_amt_max_all,326.5579671859741,21
ai_call_cnt_60d,325.84620809555054,22
3stg_pln_repay_amt_first_der_stddev,324.0639786720276,26
12thord_con_late_repay_max,321.7822389602661,26
m3_manual_rep_apl_suc_amt_sum,321.7395224571228,24
cnt_event_type_loan_type_heavy_all,321.48702907562256,23
d360_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,320.7833175063133,22
d1080_trade_fail_stgnum_avg_mon_divide_his_trade_success_stgnum_avg_mon,318.1450400352478,29
max_ddf_mdl_rep_dte_his_bjq,318.02259957790375,29
18stg_pln_repay_amt_second_der_mean_diff,317.80540895462036,31
stddev_amt_event_type_repay_event_result_1_recent_180,317.78198289871216,27
cnt_event_type_repay_event_result_1_all,315.42589950561523,29
af_1y_inter_1m_sum_up,314.5855596065521,27
15d_range_sum_prc_amt_1m,313.29527759552,22
m1_rep_apl_suc_amt_sum,313.28406286239624,23
m6_pmt_not_eng_amt_pday_max,312.2188501358032,29
fst_ord_prc_fst_adt_lmt_rto,309.175927311182,29
pst_ord_apl_suc_sum_stg_num_360_day_bjq_12m,308.81217908859253,19
stg_pln_cnt_d0_rep_his_fst_ord,306.12546014785767,28
12m_used_lmt_first_der_great_0_sum,304.81509160995483,26
pmt_crd_amt_pmonth_his,304.46376872062683,27
avg_avl_lmt_lft_rep_prc_all_cash_12m,303.9480013847351,24
