feature,split,gain,rank
f54__percent_true_call_mode_is_manual_called_phone_social_relations_is_self_is_can_contact_person_is_yes_180d,0,0.0,818
3m_repay_amt_second_der_sum,0,0.0,819
dau_00_06_90d,0,0.0,820
ord_apl_cnt_19_23,0,0.0,821
stg_pln_cnt_due_1m_rto_his_light,0,0.0,822
stg_pln_min_prc_amt_1m_ftr_his_rto_cash,0,0.0,823
24thord_con_ontime_repay_max,0,0.0,824
light_his_sum_faqi_prc_amt_divide_heavy_his_sum_adv_repay_amt,0,0.0,825
d30_d360_suc_ord_cnt_rat,0,0.0,826
m6_stg_pln_rep_apl_cnt_min,0,0.0,827
3m_repay_ftr_amt_second_der_small_0_count,0,0.0,828
m6_pmt_not_eng_equal_2_stg_pln_cnt,0,0.0,829
percent_true_followup_code_wfjt_is_can_contact_person_yes_180d,0,0.0,830
stg_pln_sum_prc_amt_ovd_3d_pls_rep_1m_rto,0,0.0,831
credit_min_limit_cnt_24m,0,0.0,832
m3_manual_deduct_rep_apl_suc_cnt_rat,0,0.0,833
m3_manual_deduct_rep_apl_suc_amt_avg,0,0.0,834
d60_d180_suc_ord_cnt_rat,0,0.0,835
d30_d60_his_rep_amt_sum_rat_btch,0,0.0,836
36stg_pln_repay_amt_first_der_great_0_count,0,0.0,837
12m_repay_amt_first_der_stddev,0,0.0,838
percent_true_call_mode_is_manual_called_phone_social_relations_is_self_15d,0,0.0,839
d90_prc_amt_mor_50_000_suc_ord_cnt,0,0.0,840
d360_lend_heavy_to_repay_light_inner7d_order_stg_rate,0,0.0,841
m6_stg_pln_ovd_1d_3d_manual_deduct_rep_apl_suc_cnt_rat,0,0.0,842
ord_apl_suc_max_stg_num_his,0,0.0,843
rsi_abf_1y_inter_3m,0,0.0,844
bf_q3_q2_trend,0,0.0,845
bf_1y_inter_3m_sum_down,0,0.0,846
ddf_24m_rep_dte_3_crt_dt_max_prc_amt,0,0.0,847
m3_pmt_not_eng_equal_3_stg_pln_d0_amt_sum,0,0.0,848
his_lend_light_to_repay_heavy_inner3d_order_stg_rate,0,0.0,849
3m_repay_amt_second_der_mean_rto,0,0.0,850
m6_add_bathch_rep_apl_cnt_rat,0,0.0,851
m6_add_bathch_rep_apl_suc_amt_avg,0,0.0,852
stg_pln_sum_prc_amt_36m_on_light,0,0.0,853
stg_pln_avg_prc_amt_24m_light,0,0.0,854
d90_lend_light_to_repay_heavy_inner7d_order_amt_sum,0,0.0,855
m1_stg_pln_adv_rep_apl_cnt_rat,0,0.0,856
loan_fund_cnt_all,0,0.0,857
d360_advrepay_amt_sum_divide_ontimrepay_amt_sum,0,0.0,858
ord_apl_suc_cnt_00_03,0,0.0,859
m3_pmt_not_eng_stg_pln_d0_amt_sum,0,0.0,860
lag_his_rep_amt_sum_per_mth_btch_rat_max,0,0.0,861
m6_manual_rep_apl_fal_cnt_rat,0,0.0,862
light_his_sum_faqi_count_divide_heavy_his_sum_faqi_count,0,0.0,863
m6_stg_pln_d0_rep_apl_cnt_mor_4_cnt_rat,0,0.0,864
ord_apl_sum_prc_amt_30_90_day_rto,0,0.0,865
d90_repaid_exclude_principal_fee_stddev,0,0.0,866
stg_pln_fst_sum_prc_amt_ovd_pls_rep_bjq_12m,0,0.0,867
m6_manual_tim_0_5_rep_apl_suc_cnt_rat,0,0.0,868
stg_pln_sum_rep_prc_his_d0_evn_zd_v2,0,0.0,869
m6_stg_pln_rep_apl_cnt_d0_max,0,0.0,870
loan_unique_fund_cnt_12m,0,0.0,871
rsk_avl_lmt_ch_1m_les_5000_rate_3m,0,0.0,872
ord_apl_suc_max_prc_amt_his,0,0.0,873
d90_repaid_interest_fee_sum,0,0.0,874
m1_rep_apl_suc_stg_pln_cnt_avg,0,0.0,875
stg_pln_sum_prc_amt_adv_3d_bjq_12m,0,0.0,876
used_rate_ch_grt_0p9_cnt_12m_suc,0,0.0,877
stg_pln_cnt_adv_3d_bjq_12m,0,0.0,878
18m_repay_amt_second_der_mean_rto,0,0.0,879
d15_prc_amt_mor_3_000_suc_ord_cnt,0,0.0,880
stg_pln_max_prc_amt_adv_3d_bjq_12m,0,0.0,881
stg_pln_sum_rep_prc_3m_his_d0_afn_pk_rto_v2,0,0.0,882
f54__percent_true_call_mode_is_ai_called_phone_social_relations_is_self_15d,0,0.0,883
pmt_hnd_amt_rat_1m,0,0.0,884
m1_rep_apl_fal_stg_pln_cnt_max,0,0.0,885
recent_24m_credit_fundcls_other_month_cnt,0,0.0,886
used_rate_ch_grt_0p8_cnt_1m_suc,0,0.0,887
stg_pln_min_prc_amt_adv_d0_rep_his_fst_ord,0,0.0,888
d15_suc_ord_prc_amt_per_stg_max_all,0,0.0,889
min_ddf_rep_dte_ord_crt_tim_neg_5,0,0.0,890
stg_pln_min_prc_amt_adv_d0_rep_bjq_12m,0,0.0,891
min_avl_lmt_lft_rep_prc_all_cash_bjq_12m,0,0.0,892
stg_pln_sum_prc_amt_6m_ftr_his_rto_all,0,0.0,893
stg_pln_sum_rep_prc_3m_his_d0_non_zd_rto_v2,0,0.0,894
d360_advrepay_ontimrepay_in_same_month_count_sum,0,0.0,895
m1_pmt_not_eng_equal_1_stg_pln_amt_rat,0,0.0,896
m1_stg_pln_manual_rep_apl_cnt_mor_0_cnt,0,0.0,897
min_ddf_rep_dte_ord_crt_tim_neg_7,0,0.0,898
min_rsk_avl_lmt_3m_bt_ch,0,0.0,899
stg_pln_cnt_adv_fst_ord,0,0.0,900
stg_pln_avg_prc_amt_6m_per_mth_light,0,0.0,901
stg_pln_sum_prc_amt_36m_ftr_light,0,0.0,902
