score_column,score_band,n_samples,bad,bad_rate,blue_customer_flag,zc_level,prc_amt_xz_30d_3m_sum,ovd_amt_xz_30d_3m_sum
gcard_v4,5,276,109,0.39492753623188404,E2,1,775669.97,25439.55
gcard_v4,5,910,362,0.3978021978021978,E2,2,1989662.62,74520.84000000001
gcard_v4,5,4753,2146,0.45150431306543237,E2,3,4775775.18,64595.64
gcard_v4,5,3174,1520,0.4788909892879647,E2,4,1965536.9299999997,62020.87
gcard_v4,5,1115,495,0.4439461883408072,E2,5,479744.70999999996,9613.84
gcard_v4,5,5296,2388,0.4509063444108761,E2,6,1510594.1900000002,71150.52
gcard_v4,5,355,177,0.49859154929577465,E2,7,35054.36,4430.18
gcard_v4,5,8574,4649,0.5422206671331934,E3,1,49403791.1,868426.3200000001
gcard_v4,5,27617,16509,0.597783973639425,E3,2,97892135.18,2991279.75
gcard_v4,5,34105,20907,0.6130186189708254,E3,3,61533436.3,2259760.05
gcard_v4,5,45407,28163,0.6202347655647807,E3,4,48381328.54000001,1933931.33
gcard_v4,5,7897,4826,0.6111181461314423,E3,5,5705252.859999999,289376.27
gcard_v4,5,38436,23233,0.6044593610157144,E3,6,20137508.509999998,1152208.62
gcard_v4,5,13077,7919,0.6055670260763172,E3,7,3376005.93,146436.2
gcard_v5,1,45,0,0.0,B2,1,0.0,0.0
gcard_v5,1,578,0,0.0,B2,2,0.0,0.0
gcard_v5,1,2692,9,0.0033432392273402673,B2,3,20582.840000000004,0.0
gcard_v5,1,4729,13,0.002748995559314866,B2,4,4753.13,0.0
gcard_v5,1,12894,21,0.0016286644951140066,B2,5,5560.84,1267.63
gcard_v5,1,98434,149,0.0015137046142593006,B2,6,113938.65,0.0
gcard_v5,1,75532,79,0.0010459143144627443,B2,7,81224.2,0.0
gcard_v5,1,9,0,0.0,E3,3,0.0,0.0
gcard_v5,1,23,0,0.0,E3,4,0.0,0.0
gcard_v5,1,4,0,0.0,E3,5,0.0,0.0
gcard_v5,1,20,0,0.0,E3,6,0.0,0.0
gcard_v5,2,734,7,0.009536784741144414,B2,1,51238.67,0.0
gcard_v5,2,3502,24,0.006853226727584237,B2,2,141363.07,0.0
gcard_v5,2,10595,83,0.00783388390750354,B2,3,349045.9,3521.05
gcard_v5,2,10403,65,0.00624819763529751,B2,4,282377.18000000005,0.0
gcard_v5,2,32182,189,0.005872848175999005,B2,5,501285.96,13561.640000000001
gcard_v5,2,93608,424,0.004529527390821297,B2,6,697671.35,34327.98
gcard_v5,2,42581,111,0.002606796458514361,B2,7,79530.66,0.0
gcard_v5,2,5,0,0.0,E3,1,0.0,0.0
gcard_v5,2,112,8,0.07142857142857142,E3,2,66690.97,0.0
gcard_v5,2,399,29,0.07268170426065163,E3,3,185953.25999999998,0.0
gcard_v5,2,313,9,0.02875399361022364,E3,4,18274.02,0.0
gcard_v5,2,16,0,0.0,E3,5,0.0,0.0
gcard_v5,2,74,3,0.04054054054054054,E3,6,0.0,0.0
gcard_v5,2,2,0,0.0,E3,7,0.0,0.0
gcard_v5,3,3877,149,0.03843177714727882,B2,1,1226343.4100000001,0.0
gcard_v5,3,12275,372,0.03030549898167006,B2,2,1924149.2400000002,84137.92000000001
gcard_v5,3,20541,500,0.02434156078087727,B2,3,1636835.78,12772.81
gcard_v5,3,15605,302,0.019352771547580902,B2,4,515447.55,15057.04
gcard_v5,3,32546,686,0.021077859030295583,B2,5,919935.4,41137.34
gcard_v5,3,62441,1070,0.017136176550663827,B2,6,1059072.7400000002,11013.06
gcard_v5,3,24531,312,0.012718600953895072,B2,7,132569.98,610.34
gcard_v5,3,20,0,0.0,E2,1,0.0,0.0
gcard_v5,3,64,5,0.078125,E2,2,9181.5,0.0
gcard_v5,3,399,56,0.14035087719298245,E2,3,181046.66999999998,4267.14
gcard_v5,3,308,35,0.11363636363636363,E2,4,59353.92,0.0
gcard_v5,3,118,17,0.1440677966101695,E2,5,17977.800000000003,973.36
gcard_v5,3,324,30,0.09259259259259259,E2,6,21081.94,0.0
gcard_v5,3,1,0,0.0,E2,7,0.0,0.0
gcard_v5,3,511,65,0.12720156555772993,E3,1,703296.0900000001,0.0
gcard_v5,3,3634,372,0.10236653824986242,E3,2,2221764.55,14986.59
gcard_v5,3,7713,617,0.07999481395047323,E3,3,1820363.29,11608.91
gcard_v5,3,7370,572,0.07761194029850746,E3,4,1269366.2200000002,34489.19
gcard_v5,3,690,66,0.09565217391304348,E3,5,135814.1,2910.73
gcard_v5,3,1639,134,0.08175716900549115,E3,6,292799.26,6838.59
gcard_v5,3,136,6,0.04411764705882353,E3,7,10089.04,3362.9900000000002
gcard_v5,4,4801,496,0.10331181003957508,B2,1,3422450.7300000004,87308.31000000001
gcard_v5,4,8898,867,0.09743762643290627,B2,2,2203559.88,80030.3
gcard_v5,4,10246,982,0.09584227991411283,B2,3,1912724.6,59932.020000000004
gcard_v5,4,6101,519,0.08506802163579741,B2,4,551820.19,4914.9
gcard_v5,4,12737,1185,0.09303603674334615,B2,5,1443673.75,50141.840000000004
gcard_v5,4,26357,2071,0.07857495162575406,B2,6,987767.4700000001,25764.39
gcard_v5,4,10085,587,0.05820525532969757,B2,7,226286.22999999998,962.69
gcard_v5,4,147,29,0.19727891156462585,E2,1,272417.91000000003,164.66
gcard_v5,4,593,134,0.22596964586846544,E2,2,765345.55,12235.19
gcard_v5,4,4988,1181,0.2367682437850842,E2,3,2415736.2800000003,33650.770000000004
gcard_v5,4,5106,1113,0.21797884841363102,E2,4,1065234.23,18824.65
gcard_v5,4,1896,372,0.1962025316455696,E2,5,275780.58,8450.95
gcard_v5,4,9690,1917,0.1978328173374613,E2,6,882009.78,11050.4
gcard_v5,4,510,122,0.23921568627450981,E2,7,18079.5,489.61
gcard_v5,4,3745,839,0.2240320427236315,E3,1,7062455.76,44668.149999999994
gcard_v5,4,15213,3127,0.20554788667586932,E3,2,16331817.35,232918.47
gcard_v5,4,22475,4570,0.20333704115684093,E3,3,11249071.43,286594.22000000003
gcard_v5,4,27052,6075,0.22456749963034156,E3,4,8683405.530000001,170055.80000000002
gcard_v5,4,3951,874,0.22120982029865857,E3,5,1155523.96,37919.9
gcard_v5,4,16521,3789,0.22934447067368804,E3,6,3225768.05,159629.52000000002
gcard_v5,4,3631,806,0.22197741668961718,E3,7,406711.59,705.83
