segment,final_flag,score_version,intent_level,zc_level,n_samples,total_principal,total_overdue,amount_overdue_rate
流失户,DEV-OOS,gcard_v4,中意愿,2,9554,891782.7000000001,27989.08,0.031385538203421076
流失户,DEV-OOS,gcard_v4,中意愿,3,29781,1422916.2,25521.440000000002,0.017936010567593513
流失户,DEV-OOS,gcard_v4,中意愿,4,29435,915541.1000000001,29713.280000000002,0.0324543376588992
流失户,DEV-OOS,gcard_v4,中意愿,5,98707,3391360.3800000004,92919.03,0.027398748463293657
流失户,DEV-OOS,gcard_v4,中意愿,6,362959,4214581.46,137704.4,0.032673327424545734
流失户,DEV-OOS,gcard_v4,中意愿,7,209558,920674.01,13782.83,0.014970369371021997
流失户,DEV-OOS,gcard_v4,高意愿,1,33108,21833255.45,410480.49,0.018800700195169474
流失户,DEV-OOS,gcard_v4,高意愿,2,73796,20145208.43,580640.18,0.028822743731721223
流失户,DEV-OOS,gcard_v4,高意愿,3,103106,14993536.66,542522.0,0.0361837245142668
流失户,DEV-OOS,gcard_v4,高意愿,4,67340,5679080.71,128957.74,0.02270750260212449
流失户,DEV-OOS,gcard_v4,高意愿,5,135387,9018452.02,253317.9,0.028088844896909482
流失户,DEV-OOS,gcard_v4,高意愿,6,273212,8705391.06,470888.93,0.054091645826649395
流失户,DEV-OOS,gcard_v4,高意愿,7,84808,1507825.26,57018.49,0.037815051592914685
流失户,DEV-OOS,gcard_v4,低意愿,合计,799128,7642328.970000001,169543.96,0.022184854991920085
流失户,DEV-OOS,gcard_v4,中意愿,合计,742416,11899229.280000001,327630.06,0.02753372107474846
流失户,DEV-OOS,gcard_v4,高意愿,合计,770757,81882749.59,2443825.73,0.029845428276854716
流失户,DEV-OOS,gcard_v4,合计,1,36848,21985703.240000002,410480.49,0.01867033706036687
流失户,DEV-OOS,gcard_v4,合计,2,92270,21251892.17,609792.13,0.028693545267503583
流失户,DEV-OOS,gcard_v4,合计,3,162742,17424018.990000002,589962.67,0.0338591613300348
流失户,DEV-OOS,gcard_v4,合计,4,133688,7341232.01,167918.44,0.0228733324013281
流失户,DEV-OOS,gcard_v4,合计,5,325969,14241222.120000001,374161.5,0.026273131396113633
流失户,DEV-OOS,gcard_v4,合计,6,1005987,15958935.67,679986.98,0.042608541951720265
流失户,DEV-OOS,gcard_v4,合计,7,554797,3221303.64,108697.54000000001,0.033743338768275816
流失户,DEV-OOS,gcard_v5,低意愿,1,420,0.0,0.0,0.0
流失户,DEV-OOS,gcard_v5,低意愿,2,2895,22056.66,8106.67,0.36753842150171423
流失户,DEV-OOS,gcard_v5,低意愿,3,13139,34882.810000000005,1619.8700000000001,0.04643748597088365
流失户,DEV-OOS,gcard_v5,低意愿,4,21392,44766.79,0.0,0.0
流失户,DEV-OOS,gcard_v5,低意愿,5,57913,323111.41000000003,1267.63,0.003923197883974447
流失户,DEV-OOS,gcard_v5,低意愿,6,389249,1086630.69,30534.56,0.02810021866766896
流失户,DEV-OOS,gcard_v5,低意愿,7,286252,287081.4,0.0,0.0
流失户,DEV-OOS,gcard_v5,中意愿,1,3731,394843.05000000005,8241.93,0.020873939657795673
流失户,DEV-OOS,gcard_v5,中意愿,2,17129,1285659.04,51466.62,0.040031313434392375
流失户,DEV-OOS,gcard_v5,中意愿,3,48338,2274892.94,141770.86000000002,0.06231979426688977
流失户,DEV-OOS,gcard_v5,中意愿,4,46168,1361808.81,7983.09,0.00586212245168248
流失户,DEV-OOS,gcard_v5,中意愿,5,134593,3426469.56,67916.41,0.01982110414545752
流失户,DEV-OOS,gcard_v5,中意愿,6,356989,3594314.72,130116.37000000001,0.03620060571657453
流失户,DEV-OOS,gcard_v5,中意愿,7,163379,544847.83,5800.240000000001,0.010645614574623525
流失户,DEV-OOS,gcard_v5,高意愿,1,32710,21590860.19,402238.56,0.018630038658038292
流失户,DEV-OOS,gcard_v5,高意愿,2,72268,19944176.47,550218.8400000001,0.027587944823274025
流失户,DEV-OOS,gcard_v5,高意愿,3,101278,15114243.24,446571.94,0.029546430668665087
流失户,DEV-OOS,gcard_v5,高意愿,4,66154,5934656.41,159935.35,0.02694938661158313
流失户,DEV-OOS,gcard_v5,高意愿,5,133467,10491641.15,304977.46,0.029068613350352726
流失户,DEV-OOS,gcard_v5,高意愿,6,259750,11277990.26,519336.05,0.04604863437787718
流失户,DEV-OOS,gcard_v5,高意愿,7,105166,2389374.41,102897.3,0.043064535875731585
流失户,DEV-OOS,gcard_v5,低意愿,合计,771260,1798529.76,41528.73,0.023090376886507568
流失户,DEV-OOS,gcard_v5,中意愿,合计,770327,12882835.950000001,413295.52,0.032081097795862254
流失户,DEV-OOS,gcard_v5,高意愿,合计,770793,86742942.13,2486175.5,0.028661415429903404
流失户,DEV-OOS,gcard_v5,合计,1,36861,21985703.240000002,410480.49,0.01867033706036687
流失户,DEV-OOS,gcard_v5,合计,2,92292,21251892.17,609792.13,0.028693545267503583
流失户,DEV-OOS,gcard_v5,合计,3,162755,17424018.990000002,589962.67,0.0338591613300348
流失户,DEV-OOS,gcard_v5,合计,4,133714,7341232.01,167918.44,0.0228733324013281
流失户,DEV-OOS,gcard_v5,合计,5,325973,14241222.120000001,374161.5,0.026273131396113633
流失户,DEV-OOS,gcard_v5,合计,6,1005988,15958935.67,679986.98,0.042608541951720265
流失户,DEV-OOS,gcard_v5,合计,7,554797,3221303.64,108697.54000000001,0.033743338768275816
流失户,DEV-OOS,gcard_v6,低意愿,1,949,489.20000000000005,0.0,0.0
流失户,DEV-OOS,gcard_v6,低意愿,2,1964,11552.83,0.0,0.0
流失户,DEV-OOS,gcard_v6,低意愿,3,12907,289875.52,0.0,0.0
流失户,DEV-OOS,gcard_v6,低意愿,4,21377,132421.68,2756.01,0.020812377550262166
流失户,DEV-OOS,gcard_v6,低意愿,5,56952,687807.68,0.0,0.0
流失户,DEV-OOS,gcard_v6,低意愿,6,370335,1541466.77,25831.84,0.016757960990621937
