mdl_month,score_version,score_decile,score_min,score_max,n_samples,pct,bad_rate,baseline_pct,psi_component,month_psi,lower_bound,upper_bound
2025-10,gcard_v2,001,0.0014166848566419,0.00496472658111916,146866,0.12242771424808313,0.0010077213242002914,0.10000083360425471,0.004537905401318818,0.004537905401318818,"(-inf, 0.004965]","(0.001417, 0.004965]"
2025-10,gcard_v2,002,0.00496472658111916,0.00857807895495418,142316,0.11863482753619081,0.002670114393321903,0.09999916639574528,0.0031846155011174986,0.007722520902436317,"(0.004965, 0.008578]","(0.004965, 0.008578]"
2025-10,gcard_v2,003,0.00857807895495418,0.014988728369779233,132633,0.11056306445239886,0.004817805523512248,0.10000083360425471,0.0010605277768143693,0.008783048679250685,"(0.008578, 0.014989]","(0.008578, 0.014989]"
2025-10,gcard_v2,004,0.014988728369779233,0.027973919978419564,125244,0.10440358315258075,0.00976493883938552,0.09999916639574528,0.0001898398155674889,0.008972888494818174,"(0.014989, 0.027974]","(0.014989, 0.027974]"
2025-10,gcard_v2,005,0.027973919978419564,0.0536298873052419,120294,0.10027725585063195,0.023093421118260262,0.10004084660848109,5.580060417486424e-07,0.008973446500859922,"(0.027974, 0.053630]","(0.027974, 0.053630]"
2025-10,gcard_v2,006,0.0536298873052419,0.10296779666415606,114595,0.09552656104380243,0.05385924342248789,0.09995915339151891,0.00020105042766778363,0.009174496928527707,"(0.053630, 0.102968]","(0.053630, 0.102968]"
2025-10,gcard_v2,007,0.10296779666415606,0.19997640248560597,107732,0.08980555411990856,0.13065755764304013,0.09999916639574528,0.0010959664952684988,0.010270463423796205,"(0.102968, 0.199976]","(0.102968, 0.199976]"
2025-10,gcard_v2,008,0.19997640248560597,0.3692633792949485,106882,0.08909699286603857,0.2719915420744372,0.10000083360425471,0.0012588804507747472,0.011529343874570953,"(0.199976, 0.369263]","(0.199976, 0.369263]"
2025-10,gcard_v2,009,0.3692633792949485,0.6062231732892975,113003,0.09419946749537768,0.5032078794368291,0.09999916639574528,0.00034651647341020313,0.011875860347981156,"(0.369263, 0.606223]","(0.369263, 0.606223]"
2025-10,gcard_v2,010,0.6062231732892975,0.9741262090106864,90049,0.07506497923498726,0.7784539528478939,0.10000083360425471,0.007152211312321789,0.019028071660302945,"(0.606223, 0.974126]","(0.606223, +inf)"
2025-11,gcard_v2,001,0.0014166848566419,0.00496472658111916,150507,0.1254607655334877,0.0009102566658029194,0.10000083360425471,0.005774683320976638,0.005774683320976638,"(-inf, 0.004965]","(0.001417, 0.004965]"
2025-11,gcard_v2,002,0.00496472658111916,0.00857807895495418,146363,0.12200637861214338,0.0022000095652589795,0.09999916639574528,0.00437748709017707,0.010152170411153707,"(0.004965, 0.008578]","(0.004965, 0.008578]"
2025-11,gcard_v2,003,0.00857807895495418,0.014988728369779233,134520,0.11213420093128404,0.004586678560808802,0.10000083360425471,0.001389487195415854,0.01154165760656956,"(0.008578, 0.014989]","(0.008578, 0.014989]"
2025-11,gcard_v2,004,0.014988728369779233,0.027973919978419564,126774,0.10567723155562446,0.00932367835676085,0.09999916639574528,0.00031358598794500425,0.011855243594514564,"(0.014989, 0.027974]","(0.014989, 0.027974]"
2025-11,gcard_v2,005,0.027973919978419564,0.0536298873052419,120086,0.10010219783700695,0.021709441566877073,0.10004084660848109,3.7612832061745446e-08,0.011855281207346626,"(0.027974, 0.053630]","(0.027974, 0.053630]"
