segment,final_flag,score_version,decile,decile_int,n_samples,pct,bad,bad_rate,score_min,score_max,lower_bound,upper_bound
老户,DEV-OOS,gcard_v6,007,7,112986,0.09999973448108311,65375,0.578611509390544,0.5047584629339046,0.6054307638177198,"(0.504758, 0.605431]","(0.504758, 0.605431]"
老户,DEV-OOS,gcard_v6,006,6,112986,0.09999973448108311,53781,0.4759970261802347,0.4125384348609614,0.5047580970074772,"(0.412538, 0.504758]","(0.412538, 0.504758]"
老户,DEV-OOS,gcard_v6,005,5,112987,0.10000061954413943,43070,0.3811942966889996,0.3263002036410051,0.4125366149184284,"(0.326300, 0.412537]","(0.326300, 0.412537]"
老户,DEV-OOS,gcard_v6,004,4,112986,0.09999973448108311,32765,0.2899916803851805,0.2462062914322912,0.326299300130972,"(0.246206, 0.326299]","(0.246206, 0.326299]"
老户,DEV-OOS,gcard_v6,003,3,112986,0.09999973448108311,23496,0.20795496787212575,0.175437574006587,0.2462051973252061,"(0.175438, 0.246205]","(0.175438, 0.246205]"
老户,DEV-OOS,gcard_v6,002,2,112986,0.09999973448108311,15586,0.13794629423114368,0.1134828126800049,0.1754374152005377,"(0.113483, 0.175437]","(0.113483, 0.175437]"
老户,DEV-OOS,gcard_v6,001,1,112987,0.10000061954413943,8185,0.07244196234965085,0.0033829102647869,0.1134827494241315,"(-inf, 0.113483]","(0.003383, 0.113483]"
老户,OOT,model_score,010,10,30977,0.1,27643,0.8923717596926752,0.8228030707667954,0.9979901119756859,"(0.822803, 0.997990]","(0.822803, +inf)"
老户,OOT,model_score,009,9,30977,0.1,22776,0.735255189334022,0.6853637367940894,0.8227993470424788,"(0.685364, 0.822799]","(0.685364, 0.822799]"
老户,OOT,model_score,008,8,30977,0.1,19068,0.615553475158989,0.5708540926200256,0.6853548313625193,"(0.570854, 0.685355]","(0.570854, 0.685355]"
老户,OOT,model_score,007,7,30977,0.1,15571,0.5026632662943474,0.47075413146560835,0.570845456793567,"(0.470754, 0.570845]","(0.470754, 0.570845]"
老户,OOT,model_score,006,6,30977,0.1,12681,0.4093682409529651,0.38028027065039965,0.470752654390685,"(0.380280, 0.470753]","(0.380280, 0.470753]"
老户,OOT,model_score,005,5,30977,0.1,10015,0.3233043871259321,0.29673796873286706,0.38028006216764676,"(0.296738, 0.380280]","(0.296738, 0.380280]"
老户,OOT,model_score,004,4,30977,0.1,7758,0.25044387771572457,0.21777314038190243,0.29672842302526564,"(0.217773, 0.296728]","(0.217773, 0.296728]"
老户,OOT,model_score,003,3,30977,0.1,5733,0.18507279594537884,0.1502036676745629,0.21776753823945266,"(0.150204, 0.217768]","(0.150204, 0.217768]"
老户,OOT,model_score,002,2,30977,0.1,3878,0.12518965684217323,0.09745955793784845,0.1502020881034016,"(0.097460, 0.150202]","(0.097460, 0.150202]"
老户,OOT,model_score,001,1,30977,0.1,2153,0.06950317977854538,0.0030504082513159525,0.09745485058276139,"(-inf, 0.097455]","(0.003050, 0.097455]"
老户,OOT,gcard_v2,010,10,30977,0.10000161412683808,25766,0.8317784162443103,0.7350207829404498,0.9744048490881494,"(0.735021, 0.974405]","(0.735021, +inf)"
老户,OOT,gcard_v2,009,9,30976,0.09999838587316191,21402,0.6909220041322314,0.6260635165653078,0.7350187775977229,"(0.626064, 0.735019]","(0.626064, 0.735019]"
老户,OOT,gcard_v2,008,8,30977,0.10000161412683808,18602,0.6005100558478872,0.545329681897954,0.6260619369681435,"(0.545330, 0.626062]","(0.545330, 0.626062]"
老户,OOT,gcard_v2,007,7,30976,0.09999838587316191,15785,0.5095880681818182,0.4697045685303199,0.5453261630091304,"(0.469705, 0.545326]","(0.469705, 0.545326]"
老户,OOT,gcard_v2,006,6,30976,0.09999838587316191,13238,0.42736311983471076,0.3948268662684812,0.4697041003471876,"(0.394827, 0.469704]","(0.394827, 0.469704]"
老户,OOT,gcard_v2,005,5,30977,0.10000161412683808,10790,0.34832294928495333,0.3195062141724986,0.3948209864401987,"(0.319506, 0.394821]","(0.319506, 0.394821]"
老户,OOT,gcard_v2,004,4,30976,0.09999838587316191,8520,0.275051652892562,0.2453936611310435,0.3195028065484155,"(0.245394, 0.319503]","(0.245394, 0.319503]"
老户,OOT,gcard_v2,003,3,30977,0.10000161412683808,6178,0.19943829292701037,0.1771188261749974,0.2453901159841484,"(0.177119, 0.245390]","(0.177119, 0.245390]"
老户,OOT,gcard_v2,002,2,30975,0.09999515761948574,4363,0.14085552865213882,0.1118965413970996,0.1771156963816951,"(0.111897, 0.177116]","(0.111897, 0.177116]"
老户,OOT,gcard_v2,001,1,30978,0.10000484238051426,2628,0.08483439860546194,0.0022657784145686,0.1118960485124968,"(-inf, 0.111896]","(0.002266, 0.111896]"
老户,OOT,gcard_v4,010,10,30977,0.1,26820,0.8658036607805791,0.7210641717062299,0.9575183905041684,"(0.721064, 0.957518]","(0.721064, +inf)"
老户,OOT,gcard_v4,009,9,30977,0.1,22339,0.721147948477903,0.6051315059769161,0.7210505935346659,"(0.605132, 0.721051]","(0.605132, 0.721051]"
老户,OOT,gcard_v4,008,8,30977,0.1,18703,0.6037705394324822,0.4987915526877574,0.6051311388374112,"(0.498792, 0.605131]","(0.498792, 0.605131]"
老户,OOT,gcard_v4,007,7,30977,0.1,15442,0.49849888627045874,0.3995819142037182,0.4987848672736885,"(0.399582, 0.498785]","(0.399582, 0.498785]"
老户,OOT,gcard_v4,006,6,30977,0.1,12372,0.3993930981050457,0.309439852805291,0.3995790417853737,"(0.309440, 0.399579]","(0.309440, 0.399579]"
老户,OOT,gcard_v4,005,5,30977,0.1,10215,0.32976079026374405,0.2241927836485627,0.3094391293713108,"(0.224193, 0.309439]","(0.224193, 0.309439]"
老户,OOT,gcard_v4,004,4,30977,0.1,8127,0.2623559415049876,0.1637560746852187,0.2241923821990963,"(0.163756, 0.224192]","(0.163756, 0.224192]"
老户,OOT,gcard_v4,003,3,30977,0.1,5997,0.19359524808729056,0.1239609319888842,0.1637559120279819,"(0.123961, 0.163756]","(0.123961, 0.163756]"
老户,OOT,gcard_v4,002,2,30977,0.1,4018,0.12970913903864156,0.0928624472908083,0.1239585586352065,"(0.092862, 0.123959]","(0.092862, 0.123959]"
老户,OOT,gcard_v4,001,1,30977,0.1,3243,0.10469057687962037,0.0017952797413867,0.0928608855700276,"(-inf, 0.092861]","(0.001795, 0.092861]"
老户,OOT,gcard_v5,010,10,30977,0.1,25639,0.8276786002517997,0.7485401630401611,0.9691522717475891,"(0.748540, 0.969152]","(0.748540, +inf)"
老户,OOT,gcard_v5,009,9,30977,0.1,21528,0.6949672337540757,0.6219518780708313,0.748539388179779,"(0.621952, 0.748539]","(0.621952, 0.748539]"
老户,OOT,gcard_v5,008,8,30977,0.1,18518,0.5977983665300062,0.5096466541290283,0.6219488382339478,"(0.509647, 0.621949]","(0.509647, 0.621949]"
老户,OOT,gcard_v5,007,7,30977,0.1,15527,0.5012428576040288,0.4086809456348419,0.5096449255943298,"(0.408681, 0.509645]","(0.408681, 0.509645]"
老户,OOT,gcard_v5,006,6,30977,0.1,13178,0.42541240275042774,0.32153448462486267,0.40867576003074646,"(0.321534, 0.408676]","(0.321534, 0.408676]"
老户,OOT,gcard_v5,005,5,30977,0.1,10642,0.3435452109629725,0.24513018131256104,0.3215329051017761,"(0.245130, 0.321533]","(0.245130, 0.321533]"
老户,OOT,gcard_v5,004,4,30977,0.1,8494,0.27420344126287244,0.176875039935112,0.24512979388237,"(0.176875, 0.245130]","(0.176875, 0.245130]"
老户,OOT,gcard_v5,003,3,30977,0.1,6540,0.21112438260644995,0.11688458174467087,0.17687243223190308,"(0.116885, 0.176872]","(0.116885, 0.176872]"
老户,OOT,gcard_v5,002,2,30977,0.1,4461,0.14401007198889498,0.06459891051054001,0.11688380688428879,"(0.064599, 0.116884]","(0.064599, 0.116884]"
老户,OOT,gcard_v5,001,1,30977,0.1,2749,0.08874326112922491,0.0019569573923945427,0.06459656357765198,"(-inf, 0.064597]","(0.001957, 0.064597]"
老户,OOT,gcard_v6,010,10,30977,0.1,27366,0.8834296413468057,0.7943478231805601,0.9748809948936792,"(0.794348, 0.974881]","(0.794348, +inf)"
老户,OOT,gcard_v6,009,9,30977,0.1,22733,0.7338670626593925,0.6709331226859335,0.7943472191318498,"(0.670933, 0.794347]","(0.670933, 0.794347]"
老户,OOT,gcard_v6,008,8,30977,0.1,18793,0.6066759208444975,0.561531818352237,0.6709297417614495,"(0.561532, 0.670930]","(0.561532, 0.670930]"
老户,OOT,gcard_v6,007,7,30977,0.1,15579,0.5029215224198599,0.4661061503082768,0.5615309608722102,"(0.466106, 0.561531]","(0.466106, 0.561531]"
老户,OOT,gcard_v6,006,6,30977,0.1,12848,0.41475933757303807,0.3797715453604059,0.4661033095600035,"(0.379772, 0.466103]","(0.379772, 0.466103]"
老户,OOT,gcard_v6,005,5,30977,0.1,10138,0.3272750750556865,0.3000881231647205,0.3797696776862401,"(0.300088, 0.379770]","(0.300088, 0.379770]"
老户,OOT,gcard_v6,004,4,30977,0.1,7880,0.2543822836297898,0.2275295324344723,0.3000874876885825,"(0.227530, 0.300087]","(0.227530, 0.300087]"
