segment,final_flag,score_version,intent_level,zc_level,n_samples,ftr_30d_count,ftr_30d_rate
流失户,DEV-OOS,model_score,中意愿,4,43695,287,0.006568257237670214
流失户,DEV-OOS,model_score,中意愿,5,122182,795,0.006506686746001866
流失户,DEV-OOS,model_score,中意愿,6,434974,2878,0.006616487422236732
流失户,DEV-OOS,model_score,中意愿,7,120838,1098,0.009086545623065592
流失户,DEV-OOS,model_score,高意愿,1,34487,3273,0.0949053266448227
流失户,DEV-OOS,model_score,高意愿,2,81270,6088,0.07491079118986095
流失户,DEV-OOS,model_score,高意愿,3,122125,7939,0.065007164790174
流失户,DEV-OOS,model_score,高意愿,4,78806,4542,0.05763520544121006
流失户,DEV-OOS,model_score,高意愿,5,175971,9954,0.05656613873876946
流失户,DEV-OOS,model_score,高意愿,6,241412,17329,0.07178185011515584
流失户,DEV-OOS,model_score,高意愿,7,36722,5273,0.1435923969282719
流失户,DEV-OOS,model_score,低意愿,合计,770795,2099,0.002723162449159634
流失户,DEV-OOS,model_score,中意愿,合计,770792,5355,0.006947399557857373
流失户,DEV-OOS,model_score,高意愿,合计,770793,54398,0.0705740711189645
流失户,DEV-OOS,model_score,合计,1,36861,3284,0.08909145166978649
流失户,DEV-OOS,model_score,合计,2,92292,6155,0.06669050405235556
流失户,DEV-OOS,model_score,合计,3,162755,8164,0.05016128536757703
流失户,DEV-OOS,model_score,合计,4,133714,4851,0.03627892367291383
流失户,DEV-OOS,model_score,合计,5,325973,10826,0.033211339589475204
流失户,DEV-OOS,model_score,合计,6,1005988,20957,0.020832256448387057
流失户,DEV-OOS,model_score,合计,7,554797,7615,0.013725741126934716
流失户,DEV-OOS,gcard_v2,低意愿,1,1165,1,0.0008583690987124463
流失户,DEV-OOS,gcard_v2,低意愿,2,3656,11,0.0030087527352297594
流失户,DEV-OOS,gcard_v2,低意愿,3,16363,55,0.0033612418260710137
流失户,DEV-OOS,gcard_v2,低意愿,4,24770,76,0.0030682276947920873
流失户,DEV-OOS,gcard_v2,低意愿,5,66084,217,0.0032836995339265177
流失户,DEV-OOS,gcard_v2,低意愿,6,382903,751,0.0019613322434141284
流失户,DEV-OOS,gcard_v2,低意愿,7,275826,275,0.0009970053584506175
流失户,DEV-OOS,gcard_v2,中意愿,1,3347,41,0.012249775918733195
流失户,DEV-OOS,gcard_v2,中意愿,2,18508,225,0.012156905122109358
流失户,DEV-OOS,gcard_v2,中意愿,3,48941,553,0.01129931958889275
