final_flag,segment,mdl_month,score_version,score_label,n_samples,n_positive,bad_rate,auc,ks
OOT-OOS,老户次新,2026-01,gcard_v2,G卡V2,182846,72875,0.39855944346608624,0.7697698900285469,0.40521534283176763
OOT-OOS,老户次新,2026-01,gcard_v4,G卡V4,183086,73016,0.39880711796642015,0.776376944190689,0.4175368448610882
OOT-OOS,老户次新,2026-01,gcard_v5,G卡V5,183086,73016,0.39880711796642015,0.7661746541109147,0.3966352547407778
OOT-OOS,老户次新,2026-01,gcard_v6,G卡V6,183086,73016,0.39880711796642015,0.7918552477049053,0.4352053546430393
OOT-OOS,老户,2025-12,model_score,本轮模型,165870,70008,0.4220654729607524,0.811039693652348,0.46838466809007895
OOT-OOS,老户,2025-12,gcard_v2,G卡V2,165863,70005,0.42206519838662027,0.7817644937743893,0.42134588351393143
OOT-OOS,老户,2025-12,gcard_v4,G卡V4,165870,70008,0.4220654729607524,0.7920656676871386,0.4413162025127725
OOT-OOS,老户,2025-12,gcard_v5,G卡V5,165870,70008,0.4220654729607524,0.7775886441490532,0.41378319717349954
OOT-OOS,老户,2025-12,gcard_v6,G卡V6,165870,70008,0.4220654729607524,0.8058021545183863,0.45715453404990736
OOT-OOS,老户,2026-01,model_score,本轮模型,161603,66395,0.41085252130220357,0.800026367689069,0.4486250784399161
OOT-OOS,老户,2026-01,gcard_v2,G卡V2,161593,66390,0.41084700451133405,0.7728793597607461,0.40933811965561095
OOT-OOS,老户,2026-01,gcard_v4,G卡V4,161603,66395,0.41085252130220357,0.7812399376083707,0.42369553032843776
OOT-OOS,老户,2026-01,gcard_v5,G卡V5,161603,66395,0.41085252130220357,0.7699368691597741,0.40187854902476017
OOT-OOS,老户,2026-01,gcard_v6,G卡V6,161603,66395,0.41085252130220357,0.796146787524552,0.4419324560857488
OOT-OOS,次新,2025-12,model_score,本轮模型,23461,7307,0.31145304974212523,0.7508651419427005,0.3749563845415005
OOT-OOS,次新,2025-12,gcard_v2,G卡V2,23241,7185,0.3091519297792694,0.7172004022802585,0.3294134152595352
OOT-OOS,次新,2025-12,gcard_v4,G卡V4,23461,7307,0.31145304974212523,0.7155545216825484,0.33185485690376565
OOT-OOS,次新,2025-12,gcard_v5,G卡V5,23461,7307,0.31145304974212523,0.701621169203851,0.3008856574954228
OOT-OOS,次新,2025-12,gcard_v6,G卡V6,23461,7307,0.31145304974212523,0.7375201417301406,0.3596377154681592
OOT-OOS,次新,2026-01,model_score,本轮模型,21483,6621,0.3081971791649211,0.7481243083551883,0.37742625600624674
OOT-OOS,次新,2026-01,gcard_v2,G卡V2,21253,6485,0.3051333929327624,0.7162530353820927,0.3217060518021837
OOT-OOS,次新,2026-01,gcard_v4,G卡V4,21483,6621,0.3081971791649211,0.7137083714603696,0.3224718002206922
OOT-OOS,次新,2026-01,gcard_v5,G卡V5,21483,6621,0.3081971791649211,0.7072787207632678,0.3103926307804342
OOT-OOS,次新,2026-01,gcard_v6,G卡V6,21483,6621,0.3081971791649211,0.7390155670907689,0.3606599534628108
OOT-OOS,流失户,2025-12,model_score,本轮模型,410669,10588,0.025782321042007065,0.8932196660852414,0.6349928398566158
OOT-OOS,流失户,2025-12,gcard_v2,G卡V2,410658,10588,0.025783011654466732,0.8826705590971902,0.5995835437903014
OOT-OOS,流失户,2025-12,gcard_v4,G卡V4,410658,10588,0.025783011654466732,0.8172374455267457,0.5625530752178814
OOT-OOS,流失户,2025-12,gcard_v5,G卡V5,410669,10588,0.025782321042007065,0.8879716469475755,0.6169718543781813
OOT-OOS,流失户,2025-12,gcard_v6,G卡V6,410669,10588,0.025782321042007065,0.8981567535464132,0.6378299783130335
OOT-OOS,流失户,2026-01,model_score,本轮模型,416914,10559,0.02532656615033316,0.8929827074037524,0.6406069326021511
OOT-OOS,流失户,2026-01,gcard_v2,G卡V2,416903,10559,0.025327234392652487,0.8812410693207509,0.5955240306859918
OOT-OOS,流失户,2026-01,gcard_v4,G卡V4,416903,10559,0.025327234392652487,0.8223961231800848,0.5726932963196133
OOT-OOS,流失户,2026-01,gcard_v5,G卡V5,416914,10559,0.02532656615033316,0.8884839223569136,0.6166919929587427
OOT-OOS,流失户,2026-01,gcard_v6,G卡V6,416914,10559,0.02532656615033316,0.8968150180127441,0.6404012129067598
